Week,Tier,Player 1,Player 2,Date,Streamer,Match start,Board visibility start,VOD Link,P1 Score,P2 Score,Bingo,Winner
3,A,bob salad,stnfwds,3/3/2025,Spooty,35,35,https://www.youtube.com/watch?v=EOLPWaX_w0E,10,13,-,stnfwds
3,A,Tyler233,Gurizuri,3/8/2025,Val1407,169,169,https://www.youtube.com/watch?v=f2R03givaMA,11,11,-,Tyler233
3,A,RedRobot,Mordaak,3/6/2025,Spooty,40,40,https://www.youtube.com/watch?v=uYtKolOvCBs,5,3,P1,RedRobot
3,A,Cosmoing,Spooty,3/6/2025,Matt,474,474,https://youtu.be/aUbe6RJg9Y4,12,13,-,Spooty
3,A,Matt,glove,3/9/2025,pizzapartytime,154,154,https://www.twitch.tv/videos/2425146385,9,13,-,glove
3,A,Peter Peladon,Khana,3/6/2025,Matt,555,555,https://www.youtube.com/watch?v=flWURtWRST4,6,13,-,Khana
3,B,Flesh177,pizzapartytime,3/9/2025,Val1407,337,337,https://www.youtube.com/watch?v=BITawwPv7wY,13,8,-,Flesh177
3,B,Flick,Sio,3/7/2025,Matt,548,548,https://youtu.be/_A8Py4xHAqk,12,6,-,Flick
3,B,Kanvas,may,3/8/2025,Matt,835,835,https://youtu.be/HqExk9FD9tw,12,9,-,Kanvas
3,B,boardsofhannahda,Ghost,3/8/2025,Spooty,42,42,https://www.youtube.com/watch?v=6kE393_40mg,9,7,-,boardsofhannahda
3,B,CuthBucket,Val1407,3/10/2025,pizzapartytime,317,317,https://www.twitch.tv/videos/2425146642,7,13,P2,Val1407
3,B,CodeMeRight1,bobbaro,3/14/2025,Spooty,40,40,https://www.youtube.com/watch?v=-e1dQkiNn1E,8,8,-,CodeMeRight1
3,B,Hugo,Marshmallow,3/5/2025,chocolatecake5000,75,75,https://www.youtube.com/watch?v=KgAR5RNt16U,10,6,P1,Hugo
3,C,dahdumbguy,JoeyBlast,3/15/2025,Kanvas,128,128,https://www.youtube.com/watch?v=zAXERRjCmRM,4,4,-,JoeyBlast
3,C,parchmentEng,A guy,3/8/2025,Val1407,189,189,https://www.youtube.com/watch?v=G2OUE0fEKQI,4,13,-,A guy
3,C,Dom,Saffron,3/5/2025,Val1407,287,287,https://www.youtube.com/watch?v=dB9H7A-ZIZM,9,4,-,Dom
3,C,Smo,amarettosis,3/4/2025,WinnerBit,246,246,https://www.twitch.tv/videos/2397258949,8,5,-,Smo
